wd_id,wp_id,slug,name,occupation,prob_ratio,gender,twitter,alive,l,hpi_raw,bplace_name,bplace_lat,bplace_lon,bplace_geonameid,bplace_country,bplace_continent,date,birthyear,dplace_name,dplace_lat,dplace_lon,dplace_geonameid,dplace_country,dplace_continent,deathdate,deathyear,bplace_geacron_name,dplace_geacron_name,region,is_group,l_,age,non_en_page_views,coefficient_of_variation,value,occupation_rank,occupation_rank_unique,birthyear_rank,birthyear_rank_unique,bplace_country_rank,bplace_country_rank_unique,bplace_name_rank,bplace_name_rank_unique,deathyear_rank,deathyear_rank_unique,dplace_country_rank,dplace_country_rank_unique,dplace_name_rank,dplace_name_rank_unique,id
q448163,2784099,Geri_Allen,Geri Allen,MUSICIAN,45.4524339603025,F,geriallenpiano,FALSE,15,15.3747629490438,"Pontiac, Michigan",42.64611111,-83.2925,118786,United States,,1957-06-12,1957,Philadelphia,39.95277778,-75.16361111,50585,United States,,2017-06-27,2017,United States,,,FALSE,2.72941597611909,62,3477,2.53586818236366,32.5206962215316,2004,2004,438,438,9862,9862,5,5,436,436,5080,5080,63,63,2784099
q313029,2074421,Tommy_Thayer,Tommy Thayer,MUSICIAN,2.31793518820575,M,tommy_thayer,TRUE,28,20.703224304749,"Portland, Oregon",45.52,-122.68194444,23503,United States,,1960-11-07,1960,,,,,,,,,,,,FALSE,5.09002188169332,59,104503,2.97142476729068,50.2521166402374,708,708,103,103,3423,3423,11,11,,,,,,,2074421
q361927,864347,Joshua_Redman,Joshua Redman,MUSICIAN,42.2039536447149,M,,TRUE,19,16.0661258490196,"Berkeley, California",37.87166667,-122.27277778,4860,United States,,1969-02-01,1969,,,,,,,,,,,,FALSE,3.71108729313493,50,13679,2.83189784218697,34.8213315124752,1899,1899,459,459,9202,9202,25,25,,,,,,,864347
q127330,10672,Frank_Zappa,Frank Zappa,MUSICIAN,0,M,zappa,FALSE,70,26.776869191456,Baltimore,39.28333333,-76.61666667,26997138,United States,,1940-12-21,1940,Los Angeles,34.05,-118.25,18110,United States,,1993-12-04,1993,United States,United States,,FALSE,5.96769983850188,79,566020,4.78803210003007,70.4632702493022,30,30,12,12,202,202,2,2,7,7,183,183,25,25,10672
q472404,1197794,Dennis_Stratton,Dennis Stratton,MUSICIAN,9.2025186812549,M,,TRUE,17,19.9108299563369,London,51.50722222,-0.1275,17867,United Kingdom,,1952-10-09,1952,,,,,,,,,,,,TRUE,6.42543070003938,67,17474,1.92060068711591,47.6152809026451,913,913,205,205,2499,2499,245,245,,,,,,,1197794
q704175,1723576,Nikolai_Kapustin,Nikolai Kapustin,MUSICIAN,1.36624624622856,M,,TRUE,17,21.5796529380404,Horlivka,48.3,38.05,562951,Ukraine,,1937-11-22,1937,,,,,,,,,,,,FALSE,5.41430820748125,82,21596,1.866198321881,53.1685916836833,507,507,131,131,282,282,1,1,,,,,,,1723576
q266544,293595,Chuck_Schuldiner,Chuck Schuldiner,MUSICIAN,0,M,,FALSE,33,20.0830369305797,Long Island,40.8,-73.3,18315,United States,,1967-05-13,1967,"Altamonte Springs, Florida",28.66138889,-81.39194444,109769,United States,,2001-12-13,2001,United States,,,FALSE,5.92365605126481,52,82852,3.13590209721943,48.188330804952,859,859,92,92,4164,4164,3,3,137,137,3032,3032,1,1,293595
q944786,1791927,D._J._Fontana,D. J. Fontana,MUSICIAN,31.601283999333,M,,FALSE,19,19.356030333515,"Shreveport, Louisiana",32.51472222,-93.74722222,150473,United States,,1931-03-15,1931,"Nashville, Tennessee",36.16666667,-86.78333333,22018,United States,,2018-06-13,2018,United States,,,FALSE,3.62924884496845,88,6018,2.83807238920683,45.7690846550435,1077,1077,270,270,5197,5197,4,4,256,256,3627,3627,18,18,1791927
q379613,582519,Ahmad_Jamal,Ahmad Jamal,MUSICIAN,26.0187632387194,M,,TRUE,25,21.3424392044814,Pittsburgh,40.43972222,-79.97638889,25101,United States,,1930-07-02,1930,,,,,,,,,United States,,,FALSE,3.80255605603655,89,26037,3.2277975026399,52.3792200136941,556,556,181,181,2756,2756,16,16,,,,,,,582519
q967761,152851,John_Sebastian,John Sebastian,MUSICIAN,4.29071203658182,M,,TRUE,17,18.0999297178896,,,,,,,1944-03-17,1944,,,,,,,,,,,,TRUE,1.86868342563621,75,18587,3.11613132023013,41.5891823123152,1443,1443,402,402,,,,,,,,,,,152851
